event_slug,order,card,bout_type,division,fighter_1_corner,fighter_1_slug,fighter_1_uuid,fighter_1_weight,fighter_1_height,fighter_1_fist_size,fighter_1_odds,fighter_2_corner,fighter_2_slug,fighter_2_uuid,fighter_2_weight,fighter_2_height,fighter_2_fist_size,fighter_2_odds
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,1,Main Card,,,blue,ricco-rodriguez,3b58b2cf-2552-492d-aaa0-68aad7e0ee1f,,1.94,,,red,lewis-rumsey,91ad1ee9-c83d-443b-9151-1a114a2aa4a6,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,2,Main Card,,,blue,joey-beltran,c4feb944-078a-4d52-a5fa-4d235df52e3c,235.0,73.0,,,red,tony-krytonite-lopez,70bf98ab-5315-475a-b1ea-0d1f92099576,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,3,Main Card,,,blue,joey-beltran,c4feb944-078a-4d52-a5fa-4d235df52e3c,235.0,73.0,,,red,tony-krytonite-lopez,70bf98ab-5315-475a-b1ea-0d1f92099576,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,4,Main Card,,,blue,bec-rawlings,bd7470ea-ecf6-432b-9d41-821d30a84324,126.0,66.0,,,red,alma-garcia,6d317bbc-428f-4f31-9bdc-1bdd55f3684f,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,5,Main Card,,,blue,sam-shewmaker,a9c1f02b-2fe2-4530-945d-dde15ba4fcf7,238.0,75.0,77cm,,red,eric-prindle,d98e2258-ad57-4320-b851-b400ccdc1be1,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,6,Main Card,,,blue,bobby-gunn,c53e062d-71c4-4862-be29-0eb3fc1ed7b2,,1.8,,,red,irineu-beato-costa-junior,f80521a0-1314-4e82-8612-bb1122eb8227,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,7,Main Card,,,blue,johnny-brutal-bedford,ffd4e798-2fd8-44e1-b26b-8ab327402f46,136.0,70.0,,,red,nick-mamalis,2216fa25-6be9-4bad-96e8-dc0b70381829,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,8,Main Card,,,blue,reggie-barnett-jr,0fc95a6a-09ac-44ce-8acd-76f054abb63b,135.0,66.0,27cm,,red,travis-thompson,1cdf04cc-7a87-470a-a4a7-607bcba7ff6c,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,9,Main Card,,,blue,maurice-jackson,bf4aa41f-e379-4bb8-a984-44a772e76cce,,2.06,,,red,dale-sopi,4679b4f8-8b98-4d93-a7a4-299f2bc9859d,,,,
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,10,Main Card,,,blue,estevan-payan,77e8c9c2-9859-4454-b2a4-f48e11af4430,,1.78,,,red,omar-avelar,3bc3accd-0330-400f-8bb5-2a6ea61e1a09,,,,
