slug,name,page,page_position,datetime_est,venue,live_stats_id,final_stats_id
bkfc-1-eight-man-heavyweight-tournament-quarterfinals,BKFC 1: Eight Man Heavyweight Tournament Quarterfinals,15,10,"June 2, 2018 8:00 PM","Cheyenne, Wyoming",,321.0
bkfc-2-rawlings-vs-hart,BKFC 2: Rawlings vs. Hart,15,9,"August 25, 2018 8:00 PM","Biloxi, Mississippi",,320.0
bkfc-3-adams-vs-shewmaker,BKFC 3: Adams vs. Shewmaker,15,8,"October 20, 2018 8:00 PM","Biloxi, Mississippi",,319.0
bkfc-4-usa-vs-mexico,BKFC 4: USA vs. Mexico,15,7,"February 2, 2019 7:00 PM","Cancún, Quintana Roo, Mexico",,318.0
bkfc-5-lobov-vs-knight,BKFC 5: Lobov vs. Knight,15,6,"April 6, 2019 8:00 PM","Biloxi, Mississippi",,317.0
bkfc-6-malignaggi-vs-lobov,BKFC 6: Malignaggi vs Lobov,15,5,"June 22, 2019 8:00 PM",,,316.0
bkfc-7-alers-vs-garcia,BKFC 7: Alers vs. Garcia,15,4,"August 10, 2019 8:00 PM",,,315.0
bkfc-8-silva-vs-gonzaga,BKFC 8: Silva vs. Gonzaga,15,3,"October 19, 2019 8:00 PM",,,314.0
bkfc-9-lobov-vs-knight-2,BKFC 9: Lobov vs Knight 2,15,2,"November 16, 2019 8:00 PM","Biloxi, Mississippi",,313.0
bkfc-10-lombard-vs-mundell,BKFC 10 Lombard vs. Mundell,15,1,"February 15, 2020 7:00 PM","Fort Lauderdale, Florida",,312.0
bkfc-11-vallie-flagg-vs-palomino,BKFC 11 Vallie-Flagg vs Palomino,14,10,"July 24, 2020 9:00 PM","Oxford, MS",,307.0
bkfc-12-alves-vs-lane,BKFC 12 Alves vs Lane,14,9,"September 11, 2020 10:00 PM","Datona Beach, FL",,306.0
bkfc-13-beltran-vs-stamps,BKFC 13 Beltran vs Stamps,14,8,"October 10, 2020 9:00 PM","Salina, KS",,304.0
bkfc-14-palomino-vs-alers,BKFC 14 Palomino vs Alers,14,7,"November 13, 2020 8:00 PM","Miami, FL",,302.0
bkfc-15-obannon-vs-shewmaker,BKFC 15 O'Bannon vs Shewmaker,14,6,"December 11, 2020 7:00 PM","Biloxi, MS",,301.0
knucklemania,KNUCKLEMANIA,14,5,"February 5, 2021 7:00 PM","Lakeland, Florida",,299.0
bkfc-16-garcia-vs-elmore,BKFC 16 Garcia vs Elmore,14,4,"March 19, 2021 8:00 PM","Biloxi, MS",,300.0
bkfc-17-birmingham,BKFC 17 Birmingham,14,3,"April 30, 2021 9:00 PM","Birmingham, AL",,298.0
bkfc-18-beltran-vs-shewmaker,BKFC 18 Beltran vs Shewmaker,14,2,"June 26, 2021 9:00 PM","Hollywood, FL",,297.0
bkfc-19-vanzant-vs-ostovich,BKFC 19 VanZant vs Ostovich,14,1,"July 23, 2021 8:00 PM","Tampa, FL",,296.0
bkfc-20-bedford-vs-barnett-jr,BKFC 20 Bedford vs Barnett Jr,13,10,"August 20, 2021 9:00 PM","Biloxi, MS",,295.0
bkfc-21-cochrane-vs-richman,BKFC 21 Cochrane vs Richman,13,9,"September 10, 2021 7:00 PM","Omaha, Nebraska",,293.0
bkfc-montana,BKFC Montana,13,8,"October 9, 2021 8:00 PM","Billings, MT",,292.0
bkfc-wichita,BKFC WICHITA,13,7,"October 23, 2021 8:00 PM","Wichita, KS",,291.0
bkfc-new-york,BKFC NEW YORK,13,6,"November 6, 2021 7:00 PM","Seneca, NY",,290.0
bkfc-22-lombard-vs-hunt,BKFC 22 Lombard vs Hunt,13,5,"November 12, 2021 8:00 PM","Miami, FL",,287.0
bkfc-tampa,BKFC TAMPA,13,4,"December 9, 2021 7:00 PM","Tampa, FL",,285.0
bkfc-thailand,BKFC Thailand,13,3,"December 18, 2021 3:00 PM",Pattaya,,288.0
bkfc-jackson,BKFC JACKSON,13,2,"January 29, 2022 8:00 PM","Jackson, MS",,284.0
knucklemania-ii,KNUCKLEMANIA II,13,1,"February 19, 2022 6:30 PM","Hollywood, FL",,283.0
bkfc-new-york-ii,BKFC NEW YORK II,12,10,"March 12, 2022 8:00 PM","Seneca, NY",,282.0
bkfc-23-richman-vs-rickels,BKFC 23 Richman vs Rickels,12,9,"April 8, 2022 8:00 PM","Wichita, KS",,289.0
