event_uuid,event_name,final_stats_id
f930cf36-4c23-4296-8626-993339c28cae,Bare Knuckle Fighting Championship 1: The Beginning,321
c1776a59-914d-4e2d-b75d-180ef444de72,Bare Knuckle Fighting Championship 2: A New Era,320
5fe755fb-bfb0-40db-8f20-81bc0c4cd1f2,Bare Knuckle Fighting Championship 3: The Takeover,319
ed4f2ced-f6ef-4bc0-aced-7cc845057a0e,Bare Knuckle Fighting Championship 4: USA vs. Mexico,318
38b6c3fc-5908-499b-aa02-deb108d5f5c5,Bare Knuckle Fighting Championship 5: Lobov vs Knight,317
7145d535-a52b-4680-80a4-4158d4de7a28,Bare Knuckle Fighting Championship 6: Malignaggi vs. Lobov,316
cdcdee44-c650-45a4-bc14-63fc32195182,Bare Knuckle Fighting Championship 7: Alers vs. Garcia,315
4d421398-4e88-41b4-b90e-a6bad27f532b,Bare Knuckle Fighting Championship 8: Silva vs. Gonzaga,314
9f4a2406-3b22-4677-800b-27ae0c522ba5,Bare Knuckle Fighting Championship 9: Lobov vs. Knight 2,313
4b3684cb-2d70-43f7-b989-259603cda140,Bare Knuckle Fighting Championship 10: Lombard vs. Mundell,312
6804892b-0cb4-4fb4-b4e7-c024f92794d5,Bare Knuckle Fighting Championship 11: Palomino vs. Vallie-Flagg,307
cdd75faa-d539-4587-bf47-62dfe546fbe3,Bare Knuckle Fighting Championship 12: Alves vs. Lane,306
fc19c37e-0786-430e-83b7-3329c887aaa4,Bare Knuckle Fighting Championship: Toe the Line 1,305
7c2a3a87-f3eb-4a65-982d-0ac9f2ad9401,Bare Knuckle Fighting Championship 13: Beltran vs. Stamps,304
5996ae07-4c95-4a13-abf5-8b0e79915d32,Bare Knuckle Fighting Championship: Toe the Line 2,303
70f92b5c-ddb6-477d-805b-923dc64b7245,Bare Knuckle Fighting Championship 14: Palomino vs. Alers,302
1707ecbb-0afd-4c2f-aefe-92d34c2f6c86,Bare Knuckle Fighting Championship 15: Shewmaker vs. O'Bannon,301
37f5a665-a948-42c9-a3a7-8718ad4ebba2,Bare Knuckle Fighting Championship: KnuckleMania,299
6e494233-53d4-42d1-a0c3-9adfe9168451,Bare Knuckle Fighting Championship 16,300
b1cdfcf0-31cc-437b-86e9-3191d17e71cf,Bare Knuckle Fighting Championship 17,298
c3627f04-4177-4139-bcfa-0cd9e177db99,Bare Knuckle Fighting Championship 18,297
9b11387f-a3dc-47b3-a4a3-f894836a352c,Bare Knuckle Fighting Championship 19,296
084bd23b-5439-45f0-beea-1f0a4f71b971,Bare Knuckle Fighting Championship 20,295
7c3a877a-2ecb-45e4-9017-2df192ee5ada,Bare Knuckle Fighting Championship: Toe the Line 3,294
8931fceb-3754-405e-a2d7-ec609ff744a9,Bare Knuckle Fighting Championship 21,293
5e16b383-ed7c-4b4e-8b7f-6677ae0437c3,Bare Knuckle Fighting Championship: Fight Night Montana,292
3c6c3a55-eb64-47a1-8435-7e81ff17a054,Bare Knuckle Fighting Championship: Fight Night Wichita,291
1c547d27-796a-42dc-bb29-7fb2559e8da1,Bare Knuckle Fighting Championship: Fight Night New York,290
f36382fe-bdc2-4ab0-98c4-8fd828a29180,Bare Knuckle Fighting Championship 22,287
3b22da12-7082-45ad-9820-2ea3febc74e4,Bare Knuckle Fighting Championship: Fight Night Tampa,285
1215a303-2d48-492e-93e8-2f78908cfc77,Bare Knuckle Fighting Championship - Thailand 1,288
d2120e11-d86d-4477-b59a-4ef766cba3b6,Bare Knuckle Fighting Championship: Fight Night Jackson,284
5c62b85f-a944-438d-8ff4-06a42e547c9d,Bare Knuckle Fighting Championship: KnuckleMania II,283
ec2073df-ce47-4dab-97dd-518752659a7a,Bare Knuckle Fighting Championship: Fight Night New York 2,282
0d65de4b-dd5b-4861-991b-ceee8cf6aa94,Bare Knuckle Fighting Championship 23,289
7f1de8b9-1330-49d6-85ae-8756b25923a8,Bare Knuckle Fighting Championship: Fight Night Ft. Lauderdale,310
ee0e1e16-b849-4704-8fb1-bcc9df39e94b,Bare Knuckle Fighting Championship 24: Montana,322
53fcf307-1ce9-4b7c-8546-691197bf3460,Bare Knuckle Fighting Championship 25,328
fa3ab1b4-ec33-4028-95c3-ddb50c83fbdc,Bare Knuckle Fighting Championship - Thailand 2,326
00c5ae70-5d6a-4029-9811-080f286264d9,Bare Knuckle Fighting Championship - Fight Night Omaha 2,334
4b0558b0-8e7a-4e95-a329-10fba4091d2b,Bare Knuckle Fighting Championship - Fight Night Jackson 2,341
20c6370b-1019-49b3-b8dd-fd2b507ca298,Bare Knuckle Fighting Championship 26,346
b8059d30-348d-4747-9e8f-bebaec57c283,Bare Knuckle Fighting Championship: Fight Night Tampa 2,354
8a621851-8e6a-4662-9855-03e1f93dafe8,Bare Knuckle Fighting Championship 27,357
7dff8b81-b742-476a-83f6-cf92a728e158,Bare Knuckle Fighting Championship 28,358
e649387f-38e3-4943-afa3-fd50850e48ab,Bare Knuckle Fighting Championship - Thailand 3,364
cf990c1f-0ff5-4c19-b364-7d9188b84ee7,Bare Knuckle Fighting Championship 29: Montana II,367
12c3208e-56c4-491a-ab31-f7a0ee8fbb26,Bare Knuckle Fighting Championship 30,374
e30f1f16-f4be-48a5-9c13-8cd8b027e38a,Bare Knuckle Fighting Championship 31: Denver,379
bf41c39b-b986-4a10-8dcc-83239304d610,Bare Knuckle Fighting Championship 32,378
4c1357b2-b97b-44ae-b7e9-a6f824765d42,Bare Knuckle Fighting Championship 33,392
485bf00d-cabe-4e76-856c-4e546c191806,Bare Knuckle Fighting Championship - Newcastle,397
4c838a7e-e183-4407-bc82-21fa5b31da93,Bare Knuckle Fighting Championship 34,399
49049373-ad8b-443f-9ad2-7a979762dad3,Bare Knuckle Fighting Championship - Thailand 4,404
e63bb894-eb3f-47f4-aecb-c706d2dd43bb,Bare Knuckle Fighting Championship 35,408
06b7a5a0-c73a-4820-8146-0229447766e3,Bare Knuckle Fighting Championship: KnuckleMania III,412
42288a4e-6d72-4d3b-9d14-42593c0000a4,Bare Knuckle Fighting Championship 36,411
b80ee338-0f02-4469-9c26-ba84c12ea780,Bare Knuckle Fighting Championship 37,417
138d7b96-1777-44dd-b5da-0691ec20c8d4,Bare Knuckle Fighting Championship 39,438
277cec75-00c9-4bd9-a6db-37456b9746cf,Bare Knuckle Fighting Championship 38,431
6b38b978-fc6e-47d6-9955-c0a349d5c00e,Bare Knuckle Fighting Championship 40,482
66495f38-b5b2-4d77-a39f-68f077f2a5f5,Bare Knuckle Fighting Championship 41,484
ce6b1243-c477-4f8d-afd2-370216f3e691,Bare Knuckle Fighting Championship 42,487
410fa0bd-6949-4bb8-8dbc-7ec751e680aa,Bare Knuckle Fighting Championship 43,498
0844a4bf-6f76-4ca0-aef8-79fde2a1c7e2,Bare Knuckle Fighting Championship 44,506
9417ae51-8cf1-449a-8828-fd73d71205fa,Bare Knuckle Fighting Championship 45,513
2228360b-9cf3-4d3a-abbd-24de434600e1,Bare Knuckle Fighting Championship 46,515
55094d1f-ef06-4d26-a0dc-c57500336107,Bare Knuckle Fighting Championship 47,517
163fdf08-5447-4678-8901-14f0f7f2ec5a,Bare Knuckle Fighting Championship 48,528
1e0825b4-3d2f-4587-a03f-3ecbbb18c9a5,BKFC Prospects 1 - PRO,551
2958c1cd-f4fe-4df0-b222-c13be80caa88,Bare Knuckle Fighting Championship 49,531
ff74583c-e728-456d-a2da-4136acaa0034,Bare Knuckle Fighting Championship 50,541
e9326fb7-3222-4a4d-a36e-80283b5ff766,Bare Knuckle Fighting Championship 51,542
60c2ba72-9217-4d36-beea-918b4f2d6c8f,BKFC Prospects 2,556
f6b086b0-b2a6-4e5e-bab2-706bf05d324f,Bare Knuckle Fighting Championship 52,543
55c826d2-1060-4fca-9f87-213a46dc41b5,Bare Knuckle Fighting Championship 53,544
524b6074-475d-429f-8424-024549f83b90,Bare Knuckle Fighting Championship - Thailand 5,546
da9a8447-f04b-433d-acf7-60796773b8c0,Bare Knuckle Fighting Championship 54 - Bulgaria,557
daceb2e3-f996-4080-a696-04e5d3669d25,Bare Knuckle Fighting Championship 55,549
e2cea315-9eca-4111-a723-1127a93a0b10,Bare Knuckle Fighting Championship 56,545
8193d2f1-bdf8-45b5-a046-53383f1af325,Bare Knuckle Fighting Championship: Fight Night Prospects Albuquerque,634
8e0cedc5-4780-4bc3-81b5-4f0d04e6a767,Bare Knuckle Fighting Championship 57 - Hollywood,568
3f1561ba-d4bb-4d10-823c-02da19eadb89,Bare Knuckle Fighting Championship: Fight Night Prospects Manassas,636
0195debd-0282-4892-a917-7fb25bc4c7ac,Bare Knuckle Fighting Championship: Fight Night Prospects Canada,638
b83608e8-0b32-4a1c-924c-70de43764e10,Bare Knuckle Fighting Championship: Fight Night Miami,657
fb8e3e7a-16ce-494f-9fdf-22809b0955d6,Bare Knuckle Fighting Championship 58 - Bulgaria,651
8adba31a-51b4-4dad-8552-78aa0f7d29bb,Bare Knuckle Fighting Championship 59,653
d0316605-2af6-43d5-9d03-15658e7d8bad,Bare Knuckle Fighting Championship 60,659
9855066e-1ea1-4002-bdea-835d8c1f9d51,Bare Knuckle Fighting Championship: Fight Night Clearwater,678
14339504-1e23-495b-816e-d0f6bbf768e5,Bare Knuckle Fighting Championship: KnuckleMania IV,680
1967a0f2-fd12-4613-974d-0d80086a9896,Bare Knuckle Fighting Championship 61,682
635d0e52-bb75-4b4e-bd53-e23935d4e5e5,Bare Knuckle Fighting Championship: Fight Night Omaha,696
3792a4d2-4090-46ab-b900-6ba78c47d0c7,Bare Knuckle Fighting Championship: Fight Night Mexico,698
6b46f634-ef46-4b4e-a45d-9befae77195d,Bare Knuckle Fighting Championship: Fight Night Prospects Denver,700
7bba7b0b-5b8e-488c-85ca-1e32d5c2b49d,Bare Knuckle Fighting Championship: Fight Night Prospects Newcastle,711
62083cf1-35df-42c0-b6f5-36380d604f59,Bare Knuckle Fighting Championship 62,713
019fd7b2-894e-4a1d-89c7-50fdba3cd8bc,Bare Knuckle Fighting Championship: Fight Night Pechanga,730
e44f4083-f9c5-4a09-9e17-caf9cf5229f4,Bare Knuckle Fighting Championship 63,742
6d133267-b4d6-4b67-90a2-6a6265ea6904,Bare Knuckle Fighting Championship 64,744
ba819d5d-ff11-40c9-9b99-8d697b698937,Bare Knuckle Fighting Championship: Fight Night Kansas City,746
6ec681ee-78ea-4de9-9376-56990ac1ee06,Bare Knuckle Fighting Championship: Fight Night Prospects Edmonton,748
79f5a368-b17a-434a-ae4f-c8b5f5deef23,Bare Knuckle Fighting Championship 65,750
b8067ecb-a397-432f-b357-3dc3d6d6d898,Bare Knuckle Fighting Championship 66,752
81257056-6016-463d-a86c-0f431602c406,Bare Knuckle Fighting Championship - Spain,760
6395e092-17ed-4e2a-8239-77ffc52d62cb,Bare Knuckle Fighting Championship 67 - Denver,763
9f2fd0dc-7b62-40bb-822f-5395c5809a85,Bare Knuckle Fighting Championship: Fight Night Prospects Myrtle Beach,
e1536753-018a-4099-a2c3-cd25297084f1,Bare Knuckle Fighting Championship 68,800
5a9b276a-aa3d-4dc9-a3a1-f333a589ad59,Bare Knuckle Fighting Championship on DAZN: Montana,829
d489158d-ee1c-44b9-bc3c-0643deffc459,Bare Knuckle Fighting Championship - Fight Night Los Angeles,831
fa1a337f-c009-4c7e-a89e-c38ca52cdb06,Bare Knuckle Fighting Championship 69,835
9517c55b-59cb-470a-aedd-e77ed1c568d0,Bare Knuckle Fighting Championship on DAZN: Hollywood,837
da0b91a0-4e64-467c-b91b-9967ff639f34,Bare Knuckle Fighting Championship: Fight Night Pechanga,861
f0e52f5f-d52e-43da-a09b-ad9764ad6986,Bare Knuckle Fighting Championship: KnuckleMania V,864
ba5e6fee-a18d-49b7-b9da-38e1f892c861,Bare Knuckle Fighting Championship: Mohegan Sun,875
1aa4c1a2-c490-47a3-9d51-8dee1220fdc7,Bare Knuckle Fighting Championship: Fight Night Newcastle,866
33b375a5-e66f-45ce-b89f-20f2f21feb38,Bare Knuckle Fighting Championship: Fight Night Albuquerque,899
eaba7d9e-fcfc-4b5b-b74f-c3f46d844a3a,Bare Knuckle Fighting Championship: Fight Night Philadelphia,901
b91ea593-709e-4313-bcdb-b6a0b2dd69f5,Bare Knuckle Fighting Championship 70: Hollywood,916
6641507c-ff96-421d-a301-27f11df5ed2b,Bare Knuckle Fighting Championship: Fight Night Manchester,918
e6fda338-a667-43d2-8527-04bdf29f68e7,Bare Knuckle Fighting Championship 71: Dubai "Day 1",920
e56fa156-1bf6-4219-af77-6ee13f61f155,Bare Knuckle Fighting Championship 72: Dubai "Day 2",922
01302539-8734-45a9-bb1d-f975aa151502,Bare Knuckle Fighting Championship: Fight Night Omaha,937
47b8c05e-6696-4a56-b7a7-a1513324d551,Bare Knuckle Fighting Championship 73: Italy,924
9e805018-9556-4243-b5ff-56e764a56ab2,Bare Knuckle Fighting Championship: Fight Night Clearwater,939
33355ea6-bfb6-48dc-b819-7720c0a9f88e,Bare Knuckle Fighting Championship 74: Salt Lake City,955
aac0edef-7c18-402a-9606-df49dae649aa,Bare Knuckle Fighting Championship 75: Albuquerque,966
e7838f56-8503-400c-b80d-f6817b64174d,Bare Knuckle Fighting Championship: Fight Night Mohegan Sun,957
37e94a7d-4d49-4678-a46f-668f21d4e375,Bare Knuckle Fighting Championship 76: Texas,959
93251010-0e4b-4e75-a1fd-8f135e1bd4a1,Bare Knuckle Fighting Championship 77: Birmingham,968
fbb9516b-36e0-4b53-8c27-c3b5a450fbcd,Bare Knuckle Fighting Championship 78,995
44e598c0-963b-44df-8ddf-d16ba4c896b0,Bare Knuckle Fighting Championship: Fight Night Philly,1006
bf07fdbd-530a-4212-a2a9-57cf0d50df64,Bare Knuckle Fighting Championship 79,1008
69a34701-00f5-4c9c-be8a-889165db5bf7,Bare Knuckle Fighting Championship: Fight Night Edmonton,1027
962e71dd-afd9-4fe7-8037-8cbbefa49cb6,Bare Knuckle Fighting Championship: Fight Night Budva,1031
0f26d35a-7541-439d-bb59-5cb99c7c45b2,Bare Knuckle Fighting Championship 80,1033
98ac72a7-bae0-46f7-888d-58ccb158dae1,Bare Knuckle Fighting Championship 81: Manchester,1048
39779e10-99bd-4acf-b38b-e6e216319534,Bare Knuckle Fighting Championship 82,1051
2b1bbc51-b043-4f8d-80cc-c522ca1e98ae,Bare Knuckle Fighting Championship: Fight Night Hammond,1053
a4af76a7-fd09-4a94-bd92-4fb4457b3d58,Bare Knuckle Fighting Championship 83,1055
d68b8c8f-fbc0-4426-89ea-a2fdc881a803,Bare Knuckle Fighting Championship: Fight Night Michigan,1072
1fa03636-5726-49a7-9292-744269362184,Bare Knuckle Fighting Championship 84,1084
22b66192-b1e6-4198-ad0a-70060d37bda1,Bare Knuckle Fighting Championship 85,1086
fb355c48-e0fa-4153-95d9-df5585b746f3,Bare Knuckle Fighting Championship: Fight Night Derby,1098
