id,pk,slug,name,date,location,venue,event_order
RXZlbnROb2RlOjMxODQ=,3184,bkfc-2-rawlings-vs-hart,BKFC 2: Rawlings vs. Hart,2018-08-25,,,1
RXZlbnROb2RlOjMxODM=,3183,bkfc-3-adams-vs-shewmaker,BKFC 3: Adams vs. Shewmaker,2018-10-20,,,2
RXZlbnROb2RlOjMxODI=,3182,bkfc-4-usa-vs-mexico,BKFC 4: USA vs. Mexico,2019-02-02,,,3
RXZlbnROb2RlOjMxODE=,3181,bkfc-5-lobov-vs-knight,BKFC 5: Lobov vs. Knight,2019-04-06,,,4
RXZlbnROb2RlOjMxODA=,3180,bkfc-6-malignaggi-vs-lobov,BKFC 6: Malignaggi vs. Lobov,2019-06-22,,,5
RXZlbnROb2RlOjMxNzk=,3179,bkfc-7-alers-vs-garcia,BKFC 7: Alers vs. Garcia,2019-08-10,,,6
RXZlbnROb2RlOjMxNzg=,3178,bkfc-8-silva-vs-gonzaga,BKFC 8: Silva vs. Gonzaga,2019-10-19,,,7
RXZlbnROb2RlOjMxNzc=,3177,bkfc-9-lobov-vs-knight-2,BKFC 9: Lobov vs. Knight 2,2019-11-16,,,8
RXZlbnROb2RlOjMxNzY=,3176,bkfc-10-lombard-vs-mundell,BKFC 10: Lombard vs. Mundell,2020-02-15,,,9
RXZlbnROb2RlOjMxNzQ=,3174,bkfc-11-vallie-flagg-vs-palomino,BKFC 11: Vallie-Flagg vs. Palomino,2020-07-24,"Oxford, Mississippi",Lafayette County Multipurpose Arena,10
RXZlbnROb2RlOjMxNzM=,3173,bkfc-12,BKFC 12,2020-08-21,"Wichita, Kansas",INTRUST Bank Arena,11
RXZlbnROb2RlOjMxOTA=,3190,bkfc-12-alves-vs-lane,BKFC 12: Alves vs. Lane,2020-09-11,"Daytona Beach, Florida",Ocean Center,12
RXZlbnROb2RlOjMxODk=,3189,bkfc-13-beltran-vs-stamps,BKFC 13: Beltran vs. Stamps,2020-10-10,"Salina, Kansas",Tony's Pizza Events Center,13
RXZlbnROb2RlOjMyMzc=,3237,bkfc-14-palomino-vs-alers,BKFC 14: Palomino vs. Alers,2020-11-13,"Miami, Florida",InterContinental Miami,14
RXZlbnROb2RlOjMzMTQ=,3314,bkfc-knuckle-mania,BKFC: Knuckle Mania,2021-02-05,"Lakeland, Florida",RP Funding Center,15
RXZlbnROb2RlOjM1NDI=,3542,bkfc-16-garcia-vs-elmore,BKFC 16: Garcia vs. Elmore,2021-03-19,"Biloxi, Mississippi",Biloxi Civic Center,16
RXZlbnROb2RlOjM1NTM=,3553,bkfc-17-cleckler-vs-burns,BKFC 17: Cleckler vs. Burns,2021-04-30,"Birmingham, Alabama",Boutwell Auditorium,17
RXZlbnROb2RlOjM1ODI=,3582,bkfc-18-beltran-vs-shewmaker,BKFC 18: Beltran vs. Shewmaker,2021-06-26,Miami Florida,Hard Rock Stadium,18
RXZlbnROb2RlOjM2NTM=,3653,bkfc-19-vanzant-vs-ostovich,BKFC 19: VanZant vs. Ostovich,2021-07-23,"Tampa, Florida",Florida State Fairgrounds,19
RXZlbnROb2RlOjM3MDQ=,3704,bkfc-20-bedford-vs-barnett,BKFC 20: Bedford vs. Barnett,2021-08-20,"Biloxi, Mississippi",Mississippi Coast Coliseum,20
RXZlbnROb2RlOjM3MTY=,3716,bkfc-21,BKFC 21,2021-09-10,"Omaha, Nebraska",,21
RXZlbnROb2RlOjM3NzI=,3772,bkfc-fight-night-montana,BKFC Fight Night: Montana,2021-10-09,"Billings, Montana",First Interstate Arena,22
RXZlbnROb2RlOjM3NzE=,3771,bkfc-fight-night-wichita,BKFC Fight Night: Wichita,2021-10-23,"Wichita, Kansas",Hartman Arena,23
RXZlbnROb2RlOjM3NzA=,3770,bkfc-fight-night-new-york,BKFC Fight Night: New York,2021-11-06,"Seneca, New York",Seneca Allegany Resort & Casino Event Center,24
RXZlbnROb2RlOjM3MzU=,3735,bkfc-22-lombard-vs-hunt,BKFC 22: Lombard vs. Hunt,2021-11-12,"Miami, Florida",James L. Knight Center,25
RXZlbnROb2RlOjM4MDc=,3807,bkfc-fight-night-tampa,BKFC Fight Night: Tampa,2021-12-09,"Tampa, Florida",Seminole Hard Rock Hotel & Casino,26
