id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTA0MA==,1040,todd-duffee-1040,Todd Duffee,Duff Man,1985-12-06,191.0,78.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA0MjA=,10420,tomar-washington-10420,Tomar Washington,T-Bo,1978-02-26,177.8,,,,,United States
RmlnaHRlck5vZGU6MTA1MQ==,1051,jessica-eye-1051,Jessica Eye,Evil,1986-07-27,168.0,63.5,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA1MjY=,10526,alex-castro-10526,Alex Castro,OG,,,,,,,United States
RmlnaHRlck5vZGU6MTA1OTI=,10592,kenny-licea-10592,Kenny Licea,Hella,1987-10-22,182.9,,,,,United States
RmlnaHRlck5vZGU6MTA1OTQ=,10594,herbert-morgan-10594,Herbert Morgan,Coach Killa,1988-10-14,178.0,,,,,United States
RmlnaHRlck5vZGU6MTA1OTg=,10598,tyler-jones-10598,Tyler Jones,Beowulf,1994-12-05,185.0,,,,,United States
RmlnaHRlck5vZGU6MTA2NDc=,10647,ryan-braun-10647,Ryan Braun,,1987-05-26,180.3,,,,,United States
RmlnaHRlck5vZGU6MTA2OTU=,10695,geronimo-dos-santos-10695,Geronimo dos Santos,Mondragon,1980-08-18,188.0,,,,,Brazil
RmlnaHRlck5vZGU6MTA3MQ==,1071,joey-gambino-1071,Joey Gambino,The Raging Warrior,1988-10-26,171.0,70.0,,Wrestling,Orthodox,United States
RmlnaHRlck5vZGU6MTA3NDk=,10749,will-cairns-10749,Will Cairns,Carnage,,173.0,68.0,,,,"
England
"
RmlnaHRlck5vZGU6MTA3NTY=,10756,gilberto-aguilar-10756,Gilberto Aguilar,El Azteca,1980-05-26,152.4,71.0,,,,Mexico
RmlnaHRlck5vZGU6MTA3Ng==,1076,louis-gaudinot-1076,Louis Gaudinot,GoodNight,1984-08-28,161.0,63.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA3OQ==,1079,chase-gormley-1079,Chase Gormley,,1983-08-11,191.0,77.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTA4MDk=,10809,joshua-ofiu-10809,Joshua Ofiu,The Silent Monster,,188.0,,,,,"
United States
"
RmlnaHRlck5vZGU6MTA4NDU=,10845,sean-santella-10845,Sean Santella,Shorty Rock,1984-10-25,165.1,,,,,United States
RmlnaHRlck5vZGU6MTA4NjQ=,10864,maia-kahaunaele-stevenson-10864,Maia Kahaunaele-Stevenson,,1982-03-19,162.6,62.0,36.0,Striker / BJJ Grappler,Orthodox,United States
RmlnaHRlck5vZGU6MTA4OTM=,10893,mike-perry-10893,Mike Perry,Platinum,1991-09-15,178.0,71.0,39.0,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTA5Mjk=,10929,kevin-brooks-10929,Kevin Brooks,,1977-08-10,188.0,,,,,United States
RmlnaHRlck5vZGU6MTA=,10,andrei-arlovski-10,Andrei Arlovski,The Pitbull,1979-02-04,193.0,77.0,44.0,Striker,Orthodox,Belarus
RmlnaHRlck5vZGU6MTAwNzI=,10072,justin-thornton-10072,Justin Thornton,,1982-12-07,185.4,,,,,United States
RmlnaHRlck5vZGU6MTAwNzM=,10073,chris-jensen-10073,Chris Jensen,Big Boy,1980-12-27,188.0,,,,,United States
RmlnaHRlck5vZGU6MTAwNzQ=,10074,braxton-smith-10074,Braxton Smith,The Beautiful Monster,1990-01-01,175.0,72.0,,Striker,Orthodox,United States
RmlnaHRlck5vZGU6MTAwODA=,10080,jared-torgeson-10080,Jared Torgeson,,1986-10-27,188.0,,,,,United States
RmlnaHRlck5vZGU6MTAxMzc=,10137,jeremiah-castillo-10137,Jeremiah Castillo,Paco,1981-11-23,165.1,,,,,United States
RmlnaHRlck5vZGU6MTAyNjE=,10261,travis-smith-10261,Travis Smith,The Hybrid,,168.0,,,,,United States
RmlnaHRlck5vZGU6MTAzMTI=,10312,brittany-horton-10312,Brittany Horton,,1992-08-05,167.6,,,,,United States
RmlnaHRlck5vZGU6MTAzNQ==,1035,john-dodson-1035,John Dodson,The Magician,1984-09-26,160.0,66.0,35.0,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTE1MDM=,11503,angelo-trujillo-11503,Angelo Trujillo,,1997-10-15,163.0,,,,,United States
RmlnaHRlck5vZGU6MTE1MDU=,11505,brok-weaver-11505,Brok Weaver,Chata Tuska,1991-12-05,183.0,73.0,,Striker,Southpaw,United States
RmlnaHRlck5vZGU6MTE1OA==,1158,frank-lester-1158,Frank Lester,The Tank,1984-06-10,180.0,71.0,,,Orthodox,United States
RmlnaHRlck5vZGU6MTE1OTg=,11598,levi-da-costa-11598,Levi da Costa,Pitbull,,,,,,,Brazil
